,course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
149,Entrepreneurship,University of Pennsylvania,Specialization,3 - 6 Months,4.8,5.3k,Beginner,https://www.coursera.org/specializations/wharton-entrepreneurship,"58,996","['Venture Capital', 'Exit Strategy', 'Finance', 'Entrepreneurship', 'Discovery-Driven Planning', 'Elevator Pitch', 'Planning', 'Entrepreneurship', 'Brand Management', 'Choosing Advisors', 'Brand', 'Entrepreneurship', 'Strategic Management', 'Sales Presentation', 'Elevator Pitch', 'Finance', 'Entrepreneurship', 'Strategic Management', 'Growth Strategies', 'Marketing', 'Entrepreneurship']"
668,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,Course,1 - 3 Months,4.8,4.1k,Mixed,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,"136,443","['Discovery-Driven Planning', 'Elevator Pitch', 'Planning', 'Entrepreneurship']"
740,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,Course,1 - 4 Weeks,4.8,870,Beginner,https://www.coursera.org/learn/entrepreneurship-strategy,"46,352",[]
248,Entrepreneurship: Growing Your Business,University of Virginia,Specialization,3 - 6 Months,4.8,7.1k,Beginner,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,"23,539","['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet', 'Leadership', 'Business Ethics', 'Ethical Leadership', 'Business Model', 'Management', 'Stakeholder Theory', 'Environmental Economics', 'Entrepreneurship', 'Product/Market Fit', 'Business Model', 'Product Management', 'business focus', 'corporate innovation']"
441,Epidemiology in Public Health Practice,Johns Hopkins University,Specialization,3 - 6 Months,4.7,4.2k,Beginner,https://www.coursera.org/specializations/professional-epidemiology,"40,131","['Outbreak investigation', 'Public Health Surveillance', 'visualization', 'Statistics', 'Epidemiology', 'Data Collection', 'Epidemiology', 'surveillance', 'Disease Surveillance', 'Data Collection', 'Data Analysis', 'Epidemiology', 'Disease Surveillance', 'Statistics', 'Epidemiology', 'Public Health', 'Outbreak investigation', 'Estimation', 'Geographic Information System (GIS)', 'Statistical Methods', 'visualization']"
418,Equine Welfare and Management,"University of California, Davis",Course,1 - 3 Months,4.9,340,Beginner,https://www.coursera.org/learn/equine,"21,379",[]
829,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,Course,1 - 3 Months,4.8,964,Intermediate,https://www.coursera.org/learn/clinicalsimulations,"18,564",[]
681,Essentials of Global Health,Yale University,Course,1 - 3 Months,4.8,1.9k,Mixed,https://www.coursera.org/learn/essentials-global-health,"70,988",[]
922,Ethical Leadership,The University of Notre Dame,Specialization,3 - 6 Months,4.8,47,Beginner,https://www.coursera.org/specializations/ethical-leadership,,[]
387,"Ethics, Technology and Engineering",Eindhoven University of Technology,Course,1 - 3 Months,4.7,701,Beginner,https://www.coursera.org/learn/ethics-technology-engineering,"26,617",[]
952,Evaluations of AI Applications in Healthcare,Stanford University,Course,1 - 3 Months,4.5,167,Beginner,https://www.coursera.org/learn/evaluations-ai-applications-healthcare,"10,075",[]
416,Everyday Excel,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,3.6k,Beginner,https://www.coursera.org/specializations/everyday-excel,"56,532","['Data Management', 'Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Real World', 'Data Management', 'Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Real World', 'Data Management', 'Spreadsheet', 'Microsoft Excel', 'Real-world projects', 'computing']"
881,Everyday Parenting: The ABCs of Child Rearing,Yale University,Course,1 - 4 Weeks,4.9,2.8k,Beginner,https://www.coursera.org/learn/everyday-parenting,"202,765",[]
218,Excel Basics for Data Analysis,IBM,Course,1 - 3 Months,4.8,6.6k,Beginner,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,"241,742","['Business Analysis', 'Spreadsheet Software', 'Data Analysis']"
86,Excel Skills for Business,Macquarie University,Specialization,3 - 6 Months,4.9,58.8k,Beginner,https://www.coursera.org/specializations/excel,"504,122","['Business Analysis', 'Spreadsheet Software', 'Data Analysis', 'Data Visualization', 'Graphs', 'Spreadsheet', 'Microsoft Excel', 'Chart', 'Concatenation', 'Microsoft Excel', 'Consolization', 'Pivot Table', 'Pivot Chart', 'Lookup Table', 'Microsoft Excel Vba', 'Data Validation', 'Microsoft Excel Macro', 'Dashboard (Business)', 'Financial Modeling', 'Microsoft Excel', 'Data Cleansing']"
390,Excel Skills for Business: Essentials,Macquarie University,Course,1 - 3 Months,4.9,47.4k,Beginner,https://www.coursera.org/learn/excel-essentials,"852,468","['Business Analysis', 'Spreadsheet Software', 'Data Visualization']"
895,Excel Skills for Business: Intermediate I,Macquarie University,Course,1 - 3 Months,4.9,16.4k,Intermediate,https://www.coursera.org/learn/excel-intermediate-1,"319,150","['Business Analysis', 'Data Analysis', 'Spreadsheet Software']"
305,Excel Skills for Data Analytics and Visualization,Macquarie University,Specialization,3 - 6 Months,4.8,4.7k,Intermediate,https://www.coursera.org/specializations/excel-data-analytics-visualization,"71,630","['Data Analysis', 'Microsoft Excel', 'Data Cleansing', 'Microsoft Excel', 'Data Visualization (DataViz)', 'Microsoft Excel', 'Data Analysis', 'Big Data', 'Data Visualization (DataViz)', 'power bi']"
857,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,Course,1 - 3 Months,4.8,2.7k,Intermediate,https://www.coursera.org/learn/excel-aplicado-negocios-avanzado,"181,057","['Business Analysis', 'Data Analysis', 'Data Analysis Software']"
553,Excel for Beginners: Introduction to Spreadsheets,Coursera Project Network,Guided Project,Less Than 2 Hours,4.6,52,Beginner,https://www.coursera.org/projects/excel-for-beginners-introduction-to-spreadsheets,"4,269",[]
364,Excel to MySQL: Analytic Techniques for Business,Duke University,Specialization,3 - 6 Months,4.6,15k,Beginner,https://www.coursera.org/specializations/excel-mysql,"213,647","['Data Analysis', 'Business Analysis', 'Business Analytics', 'Business Process', 'Binary Classification', 'Data Analysis', 'Microsoft Excel', 'Linear Regression', 'Data Analysis', 'Tableau Software', 'MySQL', 'SQL', 'Data Analysis', 'MySQL', 'Teradata', 'SQL', 'Data Analysis', 'Tableau Software', 'Data Visualization (DataViz)', 'Visualization (Computer Graphics)']"
473,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,4.5k,Beginner,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,"64,401","['Microsoft Excel Vba', 'Computer Programming', 'Problem Solving', 'Debugging']"
909,Excellence in Online Teaching,Johns Hopkins University,Course,1 - 3 Months,4.6,21,Beginner,https://www.coursera.org/learn/excellence-in-online-teaching,"2,739","['leveraging technology', 'Professional Development', 'building community', 'facilitating online learning', 'Accessibility']"
518,Executive Data Science,Johns Hopkins University,Specialization,1 - 3 Months,4.5,10.8k,Beginner,https://www.coursera.org/specializations/executive-data-science,"63,472","['Data Science', 'Data Management', 'Data Analysis', 'Communication', 'Leadership', 'Statistics', 'Data Science', 'Data Analysis', 'Data Management', 'Team Building', 'Data Science', 'Management', 'Team Management', 'Data Science', 'Data Analysis', 'Machine Learning', 'Project', 'Data Science', 'Data Analysis', 'Management', 'Data Management', 'Data Analysis', 'Communication', 'Interpretation', 'Exploratory Data Analysis']"
510,Exploratory Data Analysis for Machine Learning,IBM,Course,1 - 3 Months,4.6,1.4k,Intermediate,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,"73,246",[]
710,Expressway to Data Science: Essential Math,University of Colorado Boulder,Specialization,3 - 6 Months,4.5,295,Intermediate,https://www.coursera.org/specializations/expressway-to-data-science-essential-math,"6,121","['Integrals', 'Derivatives', 'Algebra', 'Matrix Algebra', 'Numerical Analysis', 'Derrivatives', 'Integrals', 'Algebra', 'Matrix Algebra', 'Numerical Analysis', 'Singular Value Decomposition (SVD)', 'root-finding', 'Integrals', 'Partial Derivative', 'matrix diagonalization']"
867,Expressway to Data Science: Python Programming,University of Colorado Boulder,Specialization,1 - 3 Months,4.7,103,Beginner,https://www.coursera.org/specializations/python-programming-data-science,"3,625","['Data Science', 'Python Programming', 'Flow control', 'Coding', 'Computer Programming', 'Data Science', 'Functions', 'Python Programming', 'Software Engineering', 'Computer Programming', 'Pandas', 'Seaborn', 'Matplotlib', 'Numpy', 'Data Visualization (DataViz)']"
480,Extended Reality for Everybody,University of Michigan,Specialization,1 - 3 Months,4.7,411,Beginner,https://www.coursera.org/specializations/extended-reality-for-everybody,"11,878","['Mixed Reality (MR)', 'Augmented reality (AR)', 'Virtual reality (VR)', 'Extended Reality (XR)', 'Virtual reality (VR)', 'Extended Reality (XR)', 'Mixed Reality (MR)', 'User Experience Design (UXD)', 'Augmented reality (AR)', 'Unity', 'development', 'Extended Reality (XR)', 'Unreal', 'WebXR']"
855,"Extract, Transform and Load Data in Power BI",Microsoft,Course,1 - 4 Weeks,4.4,62,Beginner,https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi,"7,050","['Data Analysis', 'power bi', 'Power Query', 'Data Configuration', 'Data transformation']"
270,FPGA Design for Embedded Systems,University of Colorado Boulder,Specialization,3 - 6 Months,4.5,1.6k,Intermediate,https://www.coursera.org/specializations/fpga-design,"19,709","['Primality Test', 'Verilog', 'Digital Design', 'Static Timing Analysis', 'Writing Code in Verilog', 'Simulating FPGA Designs', 'Designing FPGA Logic', 'Designing Test Benches', 'Writing code in VHDL', 'Software Design for Softcore Processors', 'Softcore Processor Design', 'Programmable Logic Design', 'Simulation for Verification', 'Intellectual Property Integration', 'Softcore Processor Design', 'Programmable Logic Design']"
858,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.9,596,Intermediate,https://www.coursera.org/learn/federal-taxation-individuals,"29,684","['Accounting', 'General Accounting']"
791,FinTech Law and Policy,Duke University,Course,1 - 3 Months,4.8,808,Beginner,https://www.coursera.org/learn/fintechlawandpolicy,"33,985",[]
813,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,Specialization,3 - 6 Months,4.7,755,Beginner,https://www.coursera.org/specializations/fintech,"18,224","['FinTech', 'Finance', 'Risk Management', 'Leadership and Management', 'BlockChain']"
65,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,Specialization,3 - 6 Months,4.5,15.6k,Beginner,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,"32,839","['Finance', 'Business Analysis', 'Data Analysis', 'Accounting', 'General Statistics', 'Probability & Statistics', 'Regression', 'Strategy and Operations', 'Spreadsheet Software', 'Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis', 'Monte Carlo Method', 'Microsoft Excel', 'Linear Programming (LP)', 'Solver', 'Discounted Cash Flow', 'Decision-Making', 'Corporate Finance', 'Cash Flow Analysis']"
446,Finance for Non-Finance Professionals,Rice University,Course,1 - 3 Months,4.8,2.6k,Beginner,https://www.coursera.org/learn/finance-for-non-finance,"164,943",[]
812,Finance for Non-Financial Managers,Emory University,Course,1 - 3 Months,4.4,383,Intermediate,https://www.coursera.org/learn/finance-for-non-financial-managers,"26,426",[]
816,Finance for Technical Managers,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,78,Beginner,https://www.coursera.org/specializations/finance-for-technical-managers,"2,719","['Finance', 'Accounting', 'Leadership and Management', 'Strategy and Operations', 'time value of money', 'Cost Estimation Techniques', 'Product Cost Analysis', 'Application to Personal Finances', 'Project Valuation: NPV IRR and Payback Period', 'Creating a Compelling Project Business Case', 'Discounted Cash Flow Analysis', 'Project Selection Techniques', 'Risk Management: Scenario and Sensitivity Analysis', 'Sustainability Reporting & ESG Metrics', 'Budgeting Techniques for Cost and Profit Centers', 'Financial Ratio Analyses & Forecasting Techniques', 'Understanding Corporate Financial Statements']"
703,Financial Accounting Fundamentals,University of Virginia,Course,1 - 3 Months,4.8,2.5k,Beginner,https://www.coursera.org/learn/uva-darden-financial-accounting,"139,397","['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
679,Financial Acumen for Non-Financial Managers,University of Pennsylvania,Course,1 - 4 Weeks,4.5,882,Beginner,https://www.coursera.org/learn/finance-healthcare-managers,"33,432","['Finance', 'Accounting', 'Business Analysis']"
329,Financial Analysis - Skills for Success,University of Illinois at Urbana-Champaign,Specialization,1 - 3 Months,4.7,146,Beginner,https://www.coursera.org/specializations/financial-analysis-skills-for-success,"6,804","['Risk', 'Financial Analysis', 'Financial Statement', 'Accounting', 'Finance', 'Accounting', 'Financial Analysis', 'Financial Statement', 'Finance', 'Financial Analysis', 'Planning', 'Decision-Making', 'Data Analysis', 'Budget']"
279,Financial Engineering and Risk Management,Columbia University,Specialization,3 - 6 Months,4.5,199,Intermediate,https://www.coursera.org/specializations/financialengineering,"17,202","['Finance', 'Probability & Statistics', 'Risk Management', 'Probability Distribution', 'Mathematics', 'General Statistics', 'Investment Management', 'Implied Volatility', 'Synthetic Collateralised Debt Obligation (CDO)', 'Replicating Strategy', 'Volatility Smile', 'Computer Programming', 'Derivatives', 'Swaps and options', 'Fixed Income', 'Binomial Distribution', 'black scholes model', 'model calibration', 'modeling and pricing Credit Default Swaps', 'Capital Asset Pricing Model (CAPM)', 'risk measurements', 'Value at Risk (VaR)', 'Exchange Traded Funds (ETFs)', 'transaction costs-modeling', 'Interest Rate', 'model calibration', 'product pricing', 'option']"
368,Financial Management,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,6.4k,Intermediate,https://www.coursera.org/specializations/financial-management,"72,596","['Financial Mismanagement', 'Financial Management', 'Risk Management', 'Investment', 'Financial Aid Management', 'Corporate Finance', 'Project', 'Finance', 'Mergers And Acquisitions (M&A)', 'Financial Accounting', 'Accounting', 'Accrual', 'Financial Statement', 'Stock', 'Finance', 'Investment Strategy', 'Investment', 'Stock', 'Financial Markets', 'Investment Strategy', 'Investment', 'Risk Management', 'Corporate Finance', 'Mergers And Acquisitions (M&A)', 'Debt', 'Cash Flow', 'Financial Accounting', 'Cash Flow Statement', 'Financial Statement', 'Financial Management', 'Risk Management', 'Financial Mismanagement', 'Financial Aid Management']"
81,Financial Markets,Yale University,Course,1 - 3 Months,4.8,25.9k,Beginner,https://www.coursera.org/learn/financial-markets-global,"1,700,028","['Finance', 'Investment Management', 'Risk Management']"
979,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.6,1.3k,Beginner,https://www.coursera.org/learn/financial-planning,"135,799","['Finance', 'Budget Management', 'Risk Management']"
365,Financial Reporting,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,786,Intermediate,https://www.coursera.org/specializations/financial-reporting,"17,615","['Accounting', 'Accounting Analysis', 'Financial Statement', 'Ability to analyze and discuss key financial statements', 'Ability to conceptualize and apply the general approach to revenue recognition and Long-Term contracts', 'Ability to conceptualize financial accounting structure ad standards', 'Ability to produce financial statements through recognition measurement and reporting', 'Ability to measure variables used in Time Value of Money', 'Ability to account for pensions', 'Ability to account for current liabilities and contingencies', 'Ability to classify and record different types of lease arrangements for both the lessee and lessor.', 'Ability to analyze and interpret the financial impact of different liability transactions on the financial position and performance of a company.', 'Ability to account for long-term debt and bonds', 'Interpret EPS data analyze its implications for investors and other stakeholders identify factors that may impact EPS calculations and calculate both basic and diluted EPS using relevant financial data.', 'Recognize different types of accounting changes e.g. changes in principle estimate and error corrections and demonstrate how to apply retrospective and prospective approaches when dealing with accounting changes.', ""Identify and describe the various components of shareholders' equity and be able to interpret and analyze equity-related information in financial statements effectively including the principles and procedures related to share-based compensation."", 'Demonstrate the appropriate accounting treatment for deferred tax assets and liabilities.', 'Classify cash flow activities into operating investing and financing activities and define the indirect and direct methods of calculating cash flows from operating activities.', 'make informed decisions and assessments regarding financial statements and the overall financial health of an organization', 'Determine the appropriate classification measure and disclosure of major asset categories', 'Measure and report issues related to inventories long-lived assets and PP&E', 'Identify and account for debt and equity investments']"
655,Financial Technology (Fintech) Innovations,University of Michigan,Specialization,3 - 6 Months,4.7,2.4k,Beginner,https://www.coursera.org/specializations/financialtechnology,"28,796","['Finance', 'FinTech', 'BlockChain', 'Investment Management', 'Leadership and Management', 'Machine Learning', 'Probability & Statistics', 'processing payments', 'Payment Processing', 'payment technology', 'Value Propositions', 'Payment Systems', 'Cryptocurrency', 'decentralization algorithms', 'consensus algorithms', 'Blockchain', 'blockchain as a business solution', 'Cryptocurrency', 'Credit Score', 'crowd-sourced lending', 'Logistic Regression', 'raising capital', 'robo advising', 'investment technology', 'Artificial Intelligence (AI)', 'investing technology', 'diversified portfolio']"
604,Financing and Investing in Infrastructure,Universit_ Bocconi,Course,1 - 3 Months,4.8,1.9k,Mixed,https://www.coursera.org/learn/infrastructure-investing,"52,282","['Capital Budgeting', 'Risk Analysis', 'Project', 'Finance']"
951,Finanzas corporativas,Universidad Nacional Autónoma de México,Specialization,3 - 6 Months,4.7,2.6k,Intermediate,https://www.coursera.org/specializations/finanzascorporativas,"19,646","['Finance', 'Business Analysis', 'Accounting', 'Data Analysis', 'Mathematics', 'Investment Management']"
953,Finanzas personales,Universidad Nacional Autónoma de México,Course,1 - 3 Months,4.8,8.1k,Mixed,https://www.coursera.org/learn/finanzas-personales,"523,245",['Finance']
673,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,Course,1 - 4 Weeks,4.8,2.2k,Beginner,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life,"212,181","['well-being', 'Purpose']"
724,Finding Your Professional Voice: Confidence & Impact,University of London,Course,1 - 4 Weeks,4.8,199,Beginner,https://www.coursera.org/learn/finding-your-professional-voice,"35,819","['Speak with greater clarity', 'Speak with confidence and connection', 'How to convey meaning and make messages compelling', 'Identify current vocal behaviors connected to speaking and have techniques to address them.']"
242,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,Specialization,3 - 6 Months,4.6,3.4k,Beginner,https://www.coursera.org/specializations/wharton-fintech,"41,405",[]
731,First Principles of Computer Vision,Columbia University,Specialization,3 - 6 Months,4.7,141,Beginner,https://www.coursera.org/specializations/firstprinciplesofcomputervision,"6,217","['Scale Space', 'Active Contours', 'Image Transformations', 'Edge and Corner Detection', 'SIFT Detector', 'Image Segmentation', 'Artificial Neural Network', 'apperance matching', 'Tracking', 'Computer Vision', 'Photometric Stereo', 'Depth from Focus and Defocus', 'Structed Light Methods', 'Reflectance Models', 'Radiometry', 'Epipolar Geometry', 'Camera Model', 'Camera Calibration', 'Structure from Motion', 'Simple Stereo', 'Fourier Transform', 'High-Dynamic-Range (HDR) Imaging', 'Image Formation', 'Convolution and Deconvolution', 'Working Principles of a Camera']"
380,First Step Korean,Yonsei University,Course,1 - 3 Months,4.9,48.4k,Beginner,https://www.coursera.org/learn/learn-korean,"1,437,935","['Grammar', 'Korean Language', 'Speech', 'Writing']"
912,Fondamentaux de la cybersécurité,Google,Course,1 - 4 Weeks,4.5,11,Beginner,https://www.coursera.org/learn/fondamentaux-de-la-cybersecurite,,[]
556,Food & Beverage Management,Universit_ Bocconi,Course,1 - 3 Months,4.8,4.3k,Mixed,https://www.coursera.org/learn/food-beverage-management,"136,543",[]
341,"Food Sustainability, Mindful Eating, and Healthy Cooking",Stanford University,Specialization,1 - 3 Months,4.8,408,Beginner,https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,"6,284","['Devise a customized plan for optimizing your eating patterns.', 'Rebuild your relationship with food by learning to genuinely love the foods that will support your health in the long term.', 'Practice self-compassion with regard to your eating behaviors and food choices.', 'Observe your own unique eating patterns and identify areas of improvement.', 'Practice food mindfulness or mindful eating on a day-to-day basis.', 'How to identify sustainably caught (or farmed) fish and seafood', 'How to choose more sustainably raised meat and chicken when shopping at the supermarket (if you eat these foods)', 'How to navigate the egg section (understanding terms like free range and pasture raised)', 'How to reduce food waste', 'How you can alter your consumption of protein to optimize your health and the health of the environment', 'Building a balanced meal', 'Cooking vegetables in ways that will delight', 'Shopping for and storing produce with sustainability in mind', 'Applying moderation and variety to your meals', 'Creating sensible and delightful desserts']"
396,Forensic Accounting and Fraud Examination,West Virginia University,Course,1 - 3 Months,4.7,5.3k,Mixed,https://www.coursera.org/learn/forensic-accounting,"132,580","['Accounting', 'Audit', 'Data Analysis', 'Finance']"
619,Formal Financial Accounting,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.8,355,Beginner,https://www.coursera.org/learn/formal-financial-accounting,"13,309",[]
998,Foundational Skills for Communicating About Health,University of Michigan,Course,1 - 3 Months,4.7,110,Beginner,https://www.coursera.org/learn/foundational-skills-communicating-health,"18,560","['Health Communication', 'Storytelling', 'Communication', 'Messaging', 'Tailoring communications']"
670,Foundations for Assisting in Home Care,The State University of New York,Course,3 - 6 Months,4.8,353,Mixed,https://www.coursera.org/learn/home-care,"17,733",[]
246,Foundations of Business Intelligence,Google,Course,1 - 4 Weeks,4.8,595,Advanced,https://www.coursera.org/learn/foundations-of-business-intelligence,"49,853",[]
743,Foundations of Business Strategy,University of Virginia,Course,1 - 4 Weeks,4.8,2.9k,Beginner,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,"131,583",[]
29,Foundations of Cybersecurity,Google,Course,1 - 4 Weeks,4.9,10.3k,Beginner,https://www.coursera.org/learn/foundations-of-cybersecurity,"341,968",[]
219,Foundations of Data Science,Google,Course,1 - 3 Months,4.7,1.1k,Advanced,https://www.coursera.org/learn/foundations-of-data-science,"71,626","['Sharing Insights With Stakeholders', 'Effective Written Communication', 'Asking Effective Questions', 'Cross-Functional Team Dynamics', 'Project Management']"
878,Foundations of Data Science: K-Means Clustering in Python,University of London,Course,1 - 3 Months,4.6,607,Beginner,https://www.coursera.org/learn/data-science-k-means-clustering-python,"58,867","['K-Means Clustering', 'Machine Learning', 'Programming in Python']"
403,Foundations of Data Structures and Algorithms,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,355,Advanced,https://www.coursera.org/specializations/boulder-data-structures-algorithms,"2,415","['Analysis of Algorithms', 'Algorithm Design', 'Python Programming', 'Data Structure Design', 'Graphs Algorithms', 'Analysis of Algorithms', 'Hashtables', 'Algorithm Design', 'Python Programming', 'Data Structure Design', 'Analysis of Algorithms', 'Algorithm Design', 'Python Programming', 'Data Structure Design', 'Intractability', 'Travelling Salesman Problem (TSP)', 'Integer Programming', 'Approximation Algorithm', 'Linear Programming (LP)']"
56,Foundations of Digital Marketing and E-commerce,Google,Course,1 - 4 Weeks,4.8,14.8k,Beginner,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,"628,730",[]
203,Foundations of Management,IESE Business School,Specialization,3 - 6 Months,4.8,4.6k,Beginner,https://www.coursera.org/specializations/foundations-management,"31,520","['Accounting', 'Leadership', 'Finance', 'Marketing', 'Dupont Analysis', 'Management Accounting', 'Business Analysis', 'Finance', 'Management Styles', 'Leadership', 'Management', 'Organizational Culture', 'Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
154,Foundations of Positive Psychology,University of Pennsylvania,Specialization,3 - 6 Months,4.8,7.4k,Beginner,https://www.coursera.org/specializations/positivepsychology,"62,908","['Gratitude', 'goal setting', 'Research Methodology', 'Resilience', 'Character Strengths And Virtues', 'Gratitude', 'Positive Education', 'Positive Psychology', 'Character Strengths And Virtues', 'goal setting', 'Positive Psychology', 'Savoring', 'Character Strengths And Virtues', 'Flourishing', 'Positive Psychology', 'Personal Development', 'Gratitude', 'Plan', 'Positive Psychology', 'Communication', 'Mindfulness']"
33,Foundations of Project Management,Google,Course,1 - 4 Weeks,4.9,72.2k,Beginner,https://www.coursera.org/learn/project-management-foundations,"1,496,641","['Project Management', 'Strategy and Operations', 'Leadership and Management', 'Change Management', 'Communication']"
875,Foundations of Software Testing and Validation,University of Leeds,Course,1 - 4 Weeks,4.7,46,Beginner,https://www.coursera.org/learn/foundations-of-software-testing-and-validation,"3,019","['Software Testing', 'Software Development', 'Validation']"
61,Foundations of User Experience (UX) Design,Google,Course,1 - 4 Weeks,4.8,59.3k,Beginner,https://www.coursera.org/learn/foundations-user-experience-design,"1,065,511","['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)']"
34,"Foundations: Data, Data, Everywhere",Google,Course,1 - 3 Months,4.8,92.2k,Beginner,https://www.coursera.org/learn/foundations-data,"2,152,359","['Spreadsheet', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL']"
437,Fractal Data Science,Fractal Analytics,Professional Certificate,3 - 6 Months,,,Beginner,https://www.coursera.org/professional-certificates/fractal-data-science,,"['Data cleaning and preprocessing', 'Feature Engineering', 'Data Analysis', 'Exploratory Data Analysis', 'Data transformation', 'Critical Thinking', 'Decision-Making', 'Communication', 'Awareness of cognitive biases', 'Data Pre-Processing', 'Decision Tree', 'Logistic Regression', 'Unsupervised Learning', 'Linear Regression', 'Data Visualization (DataViz)', 'Storytelling', 'Data Stories', 'structured thinking', 'Problem Solving', 'Human Centric Design', 'problem statement', 'Critical Thinking', 'Data Manipulation', 'Mysql Workbench', 'Relational Database', 'Data Analysis', 'SQL', 'Dashboard Creation', 'Data Analysis', 'Data Visualization (DataViz)', 'power bi', 'Data Model', 'Model Selection', 'Bagging and Boosting Algorithms', 'Regularization', 'hyperparameter tuning']"
698,From Data to Insights with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.6,4.6k,Beginner,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,"45,686","['Bigquery', 'Google Cloud Platform', 'Cloud Computing', 'SQL', 'Bigquery', 'Google Cloud Platform', 'Cloud Computing', 'SQL', 'Bigquery', 'Machine Learning', 'Google Cloud Platform', 'Cloud Computing']"
850,From Excel to Power BI,Knowledge Accelerators,Course,1 - 4 Weeks,4.5,114,Beginner,https://www.coursera.org/learn/from-excel-to-power-bi,"24,179",[]
235,From Likes to Leads: Interact with Customers Online,Google,Course,1 - 3 Months,4.8,2k,Beginner,https://www.coursera.org/learn/from-likes-to-leads,"113,192","['Marketing', 'Social Media', 'Advertising', 'Data Analysis']"
449,Functional Programming in Scala,_cole Polytechnique Fédérale de Lausanne,Specialization,3 - 6 Months,4.7,10.6k,Intermediate,https://www.coursera.org/specializations/scala,"70,247","['Computer Programming', 'Theoretical Computer Science', 'Scala Programming', 'Recursion', 'Functional Programming', 'Immutable Data Types', 'Higher-Order Function', 'Data Structure', 'Parallel Computing', 'Data Parallelism', 'Parallel Algorithm', 'Scala Programming', 'Parallel Computing', 'Apache Spark', 'Functional Programming', 'Laziness', 'Type Class', 'Functional Programming', 'Referential Transparency', 'Reactive Programming', 'Scala Programming', 'Big Data', 'Apache Spark', 'SQL']"
360,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,1.9k,Beginner,https://www.coursera.org/specializations/accounting-fundamentals,"27,685","['Income Statement', 'Cost', 'Financial Statement', 'Balance Sheet', 'Accounting', 'Financial Statement', 'Balance Sheet', 'Accounting Terminology', 'Income Statement', 'Financial Ratio', 'Financial Statement', 'Balance Sheet']"
911,Fundamentals of Computing,Rice University,Specialization,3 - 6 Months,4.8,3.9k,Beginner,https://www.coursera.org/specializations/computer-fundamentals,"59,187","['Python Syntax And Semantics', 'Logic Programming', 'Python Programming', 'Object-Oriented Programming (OOP)', 'Programming Principles', 'Python Syntax And Semantics', 'Computer Programming', 'Python Programming', 'Algorithms', 'Python Programming', 'Algorithmic Efficiency', 'Dynamic Programming', 'Computer Programming', 'Algorithms', 'Python Programming', 'Combinatorics', 'Recursion', 'Algorithms', 'Python Programming', 'Tree (Data Structure)', 'Binary Tree', 'Algorithm Design', 'Python Programming', 'Graphs', 'Computer Programming', 'Graph Theory', 'Algorithms', 'Python Programming', 'Graph Algorithms']"
