,course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
170,AI for Medicine,DeepLearning.AI,Specialization,1 - 3 Months,4.7,2.2k,Intermediate,https://www.coursera.org/specializations/ai-for-medicine,"41,247","['model interpretation', 'Image Segmentation', 'natural language extraction', 'Machine Learning', 'time-to-event modeling', 'Deep Learning', 'Image Segmentation', 'Machine Learning', 'model evaluation', 'Multi-class classification', 'Deep Learning', 'Machine Learning', 'time-to-event modeling', 'Random Forest', 'model tuning', 'treatment effect estimation', 'machine learning interpretation', 'Random Forest', 'natural language entity extraction', 'question-answering']"
53,AI in Healthcare,Stanford University,Specialization,3 - 6 Months,4.7,1.2k,Beginner,https://www.coursera.org/specializations/ai-healthcare,"24,463",[]
519,"AI, Business & the Future of Work",Lund University,Course,1 - 4 Weeks,4.7,240,Beginner,https://www.coursera.org/learn/ai-business-future-of-work,"22,257",[]
876,"AI, Empathy & Ethics","University of California, Santa Cruz",Course,1 - 4 Weeks,4.2,35,Beginner,https://www.coursera.org/learn/ai-empathy-ethics,"4,527",[]
404,AWS Cloud Practitioner Essentials,Amazon Web Services,Course,1 - 3 Months,4.8,1.5k,Beginner,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,"109,888",[]
115,AWS Cloud Solutions Architect,Amazon Web Services,Professional Certificate,3 - 6 Months,4.8,4.5k,Intermediate,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,"34,241","['AWS Identity and Access Management', 'Networking on AWS', 'AWS Management Console', 'Cloud Computing', 'aws security', 'Software Architecture', 'Data Analysis', 'Data Visualization (DataViz)', 'AWS Account Management', 'Data Science', 'Analytics', 'Big Data', 'Data Lake', 'Amazon Web Services (Amazon AWS)', 'Cloud Computing Security', 'Cloud Computing Architecture', 'AWS cloud']"
429,AWS Cloud Technical Essentials,Amazon Web Services,Course,1 - 3 Months,4.8,4.2k,Beginner,https://www.coursera.org/learn/aws-cloud-technical-essentials,"214,832",[]
108,AWS Cloud Technology Consultant,Amazon Web Services,Professional Certificate,3 - 6 Months,4.8,4.2k,Beginner,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,"1,902","['Information Technology', 'Cloud Computing Security', 'Data Analysis', 'Cloud Computing', 'Project Management', 'Continuous Integration', 'Software Testing', 'Version Management', 'Automation', 'security', 'AWS Identity and Access Management', 'Networking on AWS', 'AWS Management Console', 'Cloud Computing', 'aws security', 'Cloud Computing Security', 'Cloud Storage', 'Cloud Infrastructure', 'Customer Support', 'Technical Troubleshooting', 'Implementation', 'strategy', 'Migration', 'Management', 'Troubleshooting', 'Continuous Integration', 'Application Programming Interfaces (API)', 'Software Testing', 'Automation', 'security', 'Web Development', 'Cloud API', 'Software Architecture', 'Python Programming', 'Automation', 'Operational Excellence', 'Cost Optimization', 'Performance Efficiency', 'security', 'Reliability', 'Database (DBMS)', 'Data Analysis', 'Extraction, Transformation And Loading (ETL)', 'Data Architecture', 'Data Warehouse']"
122,AWS Fundamentals,Amazon Web Services,Specialization,3 - 6 Months,4.8,4.4k,Beginner,https://www.coursera.org/specializations/aws-fundamentals,"16,628","['AWS Identity and Access Management', 'Networking on AWS', 'AWS Management Console', 'Cloud Computing', 'aws security', 'Software Architecture', 'Data Analysis', 'Data Visualization (DataViz)', 'AWS Account Management']"
483,Abnormal Psychology,Wesleyan University,Specialization,3 - 6 Months,4.8,418,Beginner,https://www.coursera.org/specializations/abnormal-psychology,"10,256",[]
278,Academic English: Writing,"University of California, Irvine",Specialization,3 - 6 Months,4.7,21.9k,Beginner,https://www.coursera.org/specializations/academic-english,"207,508","['Essay Writing', 'Academic Writing', 'Creative Writing', 'Writing', 'English Grammar', 'Punctuation', 'Grammar', 'Writing']"
158,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,Specialization,1 - 3 Months,4.7,3.2k,Intermediate,https://www.coursera.org/specializations/cs-fundamentals,"41,814",[]
682,Accounting Data Analytics,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,515,Intermediate,https://www.coursera.org/specializations/accounting-data-analytics,"8,341","['Data Analysis', 'Predictive Analytics', 'Data Visualization (DataViz)', 'Data Architecture', 'Coding', 'Python Programming', 'Data Visualization (DataViz)', 'Linear Regression', 'SQL', 'Data Preparation', 'Text Analysis', 'Basic Time Series Analysis', 'Machine Learning Model Evaluation and Optimization', 'Python Programming', 'Machine Learning Modeling', 'Data Analysis', 'Python Programming', 'Machine Learning', 'Data Visualization (DataViz)']"
730,Accounting: Principles of Financial Accounting,IESE Business School,Course,1 - 4 Weeks,4.8,2.9k,Beginner,https://www.coursera.org/learn/financial-accounting,"117,594","['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
231,Achieving Personal and Professional Success,University of Pennsylvania,Specialization,3 - 6 Months,4.7,3k,Beginner,https://www.coursera.org/specializations/wharton-success,"44,229","['goal setting', 'Communication', 'Negotiation', 'Deception', 'Happiness', 'Personality Development', 'Personal Development', 'goal setting', 'Happiness', 'Personality Development', 'Personal Development', 'goal setting', 'Communication', 'Negotiation', 'Deception']"
865,Active Optical Devices,University of Colorado Boulder,Specialization,3 - 6 Months,4.1,98,Advanced,https://www.coursera.org/specializations/active-optical-devices,"5,356","['design lasers', 'design displays', 'design detectors', 'analyze lasers and detectors']"
746,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,Course,1 - 3 Months,4.8,1.7k,Beginner,https://www.coursera.org/learn/addiction-treatment,"54,810",[]
926,Additive Manufacturing,Arizona State University,Specialization,3 - 6 Months,4.8,39,Beginner,https://www.coursera.org/specializations/additive-manufacturing,,"['Machine setup', 'Post-processing requirements', 'Design for Additive Manufacturing', 'Build preparation', 'Part Selection for Additive Manufacturing', 'Build preparation', 'Machine setup', 'Part Selection for Additive Manufacturing', 'Post-processing requirements', 'Build preparation', 'Machine setup', 'Part Selection for Additive Manufacturing', 'Post-processing requirements', 'Build preparation', 'Machine setup', 'Part Selection for Additive Manufacturing', 'Post-processing requirements', 'Build preparation', 'Machine setup', 'Part Selection for Additive Manufacturing', 'Post-processing requirements', 'Build preparation', 'Machine setup', 'Part Selection for Additive Manufacturing', 'Post-processing requirements']"
988,Administración de Empresas,Universidad de Palermo,Specialization,3 - 6 Months,4.8,1.5k,Beginner,https://www.coursera.org/specializations/administracion-de-empresas,"4,931","['Gerencia', 'Gestión', 'Estrategia', 'negocios', 'Liderazgo', 'estados financieros', 'técnicas contables', 'información contable y financiera', 'gestión gerencial', 'Políticas económicas', 'Economy', 'Mercados', 'Macroeconomía', 'Liderazgo y gestión', 'Administración de negocios', 'Desarrollo humano', 'desarrollo profesional', 'negocios', 'Marketing', 'Comportamiento del consumidor', 'Estrategia', 'Mercados', 'negocios']"
406,Advanced Business Analytics,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,5k,Intermediate,https://www.coursera.org/specializations/data-analytics-business,"56,166","['Data Model', 'Data Quality', 'Data Analysis', 'SQL', 'Data Analysis', 'Simulation', 'Business Analytics', 'Mathematical Optimization', 'Regression Analysis', 'Data Cleansing', 'Predictive Modelling', 'Exploratory Data Analysis']"
328,Advanced Data Science with IBM,IBM,Specialization,3 - 6 Months,4.3,3k,Advanced,https://www.coursera.org/specializations/advanced-data-science-ibm,"43,423","['Machine Learning', 'Python Programming', 'Statistical Programming', 'Machine Learning Algorithms', 'Data Management', 'Deep Learning', 'Artificial Neural Networks', 'Data Analysis', 'Probability & Statistics', 'Applied Machine Learning', 'Cloud Computing', 'General Statistics', 'Statistics', 'Data Science', 'Internet Of Things (IOT)', 'Apache Spark', 'Machine Learning', 'Deep Learning', 'Long Short-Term Memory (ISTM)', 'Apache Spark']"
459,Advanced Embedded Linux Development,University of Colorado Boulder,Specialization,1 - 3 Months,4,49,Intermediate,https://www.coursera.org/specializations/advanced-embedded-linux-development,"3,041","['Computer Programming', 'Operating Systems', 'Linux', 'Embedded Systems Engineering', 'C Programming', 'Shell Script', 'Electrical Engineering', 'Shell Script', 'C Programming', 'Linux', 'Embedded Systems', 'Agile Software Development', 'Linux', 'Embedded Systems']"
874,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.7,169,Advanced,https://www.coursera.org/learn/advanced-financial-reporting,"16,849",[]
89,Advanced Learning Algorithms,DeepLearning.AI,Course,1 - 4 Weeks,4.9,3.8k,Beginner,https://www.coursera.org/learn/advanced-learning-algorithms,"167,965",[]
590,Advanced Machine Learning on Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.5,1.4k,Advanced,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,"3,953","['Tensorflow', 'Convolutional Neural Network', 'Estimator', 'Advanced Machine Learning']"
790,Advanced Statistics for Data Science,Johns Hopkins University,Specialization,3 - 6 Months,4.4,711,Advanced,https://www.coursera.org/specializations/advanced-statistics-data-science,"20,063","['Statistics', 'Confidence Interval', 'Statistical Hypothesis Testing', 'Biostatistics', 'Statistics', 'Statistical Hypothesis Testing', 'Biostatistics', 'Statistics', 'Linear Regression', 'R Programming', 'Linear Algebra']"
523,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,Course,1 - 3 Months,4.6,1.2k,Advanced,https://www.coursera.org/learn/advanced-valuation-and-strategy,"126,324","['Finance', 'Business Analysis', 'Data Analysis', 'Investment Management', 'Accounting']"
167,Agile Development,University of Virginia,Specialization,3 - 6 Months,4.7,4.5k,Beginner,https://www.coursera.org/specializations/agile-development,"33,806","['hypothesis-driven development', 'Design Thinking', 'User Experience (UX)', 'agile', 'Lean Startup', 'agile user stories', 'User Experience Design (UXD)', 'Agile Software Development', 'Product Management', 'Software Development', 'Usability Testing', 'Continuous Delivery', 'hypothesis-driven development', 'Lean Startup', 'Software Development', 'Product Management', 'Agile Software Development', 'agile product management', 'Agile Software Development', 'backlog management', 'Kanban', 'XP']"
920,Agile Leadership,University of Colorado System,Specialization,3 - 6 Months,4.8,2.1k,Beginner,https://www.coursera.org/specializations/agile-leadership-change-management,"17,924","['Agile Leadership', 'Agile Management', 'Scrum (Software Development)', 'Change Management', 'Project Management']"
854,Agile Meets Design Thinking,University of Virginia,Course,1 - 4 Weeks,4.7,3.3k,Beginner,https://www.coursera.org/learn/uva-darden-getting-started-agile,"161,772",[]
156,Agile Project Management,Google,Course,1 - 4 Weeks,4.8,10.1k,Beginner,https://www.coursera.org/learn/agile-project-management,"356,630",[]
282,Agile with Atlassian Jira,Atlassian,Course,1 - 4 Weeks,4.7,8.3k,Beginner,https://www.coursera.org/learn/agile-atlassian-jira,"279,924",[]
932,Akamai Customer Consulting and Support,"Akamai Technologies, Inc.",Professional Certificate,3 - 6 Months,4.9,26,Beginner,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support,,"['Performing Basic Linux Tasks', 'User and Group Accounts', 'Managing the File System in Linux', 'Managing Linux Permissions and Ownership', 'Managing Jobs and Processes', 'Using Databases and Interacting with Web Sites', 'Create user-defined functions', 'Structuring Code for Reuse', 'Developing a Simple Application', 'Exploring Programming Concepts', 'Information Security (INFOSEC)', 'Network Security', 'Risk Management', 'Computer Security Incident Management', 'Mobile Security', 'Embedding and Linking Content', 'Adding Animation', 'Using Advanced Techniques to Select and Apply Styles', 'Formatting Content with CSS', 'Authoring Content in HTML', 'Relational Database Concepts', 'Organizing Data', 'Working with SQL Queries and Functions', 'Manipulating Table Data', 'Using Subqueries', 'Internet Protocol (IP) Suite', 'Network Transmissions and Hardware', 'Network Theory', 'Network Architecture', 'Network Management / Troubleshooting']"
933,Akamai Network Engineering,"Akamai Technologies, Inc.",Professional Certificate,3 - 6 Months,4.9,26,Beginner,https://www.coursera.org/professional-certificates/akamai-network-engineering,"2,021","['Performing Basic Linux Tasks', 'User and Group Accounts', 'Managing the File System in Linux', 'Managing Linux Permissions and Ownership', 'Managing Jobs and Processes', 'Using Databases and Interacting with Web Sites', 'Create user-defined functions', 'Structuring Code for Reuse', 'Developing a Simple Application', 'Exploring Programming Concepts', 'Information Security (INFOSEC)', 'Network Security', 'Risk Management', 'Computer Security Incident Management', 'Mobile Security', 'Relational Database Concepts', 'Organizing Data', 'Working with SQL Queries and Functions', 'Manipulating Table Data', 'Using Subqueries', 'Internet Protocol (IP) Suite', 'Network Transmissions and Hardware', 'Network Theory', 'Network Architecture', 'Network Management / Troubleshooting']"
589,Algebra: Elementary to Advanced,Johns Hopkins University,Specialization,3 - 6 Months,4.8,487,Beginner,https://www.coursera.org/specializations/algebra-elementary-to-advanced,"17,387",[]
897,Algorithmic Toolbox,University of California San Diego,Course,1 - 3 Months,4.6,12.3k,Intermediate,https://www.coursera.org/learn/algorithmic-toolbox,"491,244",[]
152,Algorithms,Stanford University,Specialization,3 - 6 Months,4.8,5.7k,Intermediate,https://www.coursera.org/specializations/algorithms,"109,529","['Algorithms', 'Randomized Algorithm', 'Sorting Algorithm', 'Divide And Conquer Algorithms', 'Graphs', 'Data Structure', 'Algorithms', 'Hash Table', 'Spanning Tree', 'Algorithms', 'Dynamic Programming', 'Greedy Algorithm', 'Data Structure', 'Algorithms', 'Np-Completeness', 'Dynamic Programming']"
314,Algorithms for Battery Management Systems,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,2.4k,Intermediate,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,"21,664","['Mathematics', 'Algorithms', 'Probability & Statistics', 'Mathematical Theory & Analysis', 'Research and Design', 'General Statistics', 'Computer Programming', 'Design and Product', 'Linear Algebra', 'Problem Solving', 'Data Analysis', 'Leadership and Management', 'Understand the requirements of a battery-management system', 'Understand how lithium-ion battery cells work', 'How to implement state-of-charge (SOC) estimators for lithium-ion battery cells', 'H\u200bow to implement state-of-health (SOH) estimators for lithium-ion battery cells', 'Design equivalent-circuit models for lithium-ion battery cells', 'H\u200bow to design balancers and power-limits estimators for lithium-ion battery packs']"
690,American Contract Law I,Yale University,Course,1 - 3 Months,4.9,851,Beginner,https://www.coursera.org/learn/contracts-1,"56,712",[]
440,An Introduction to American Law,University of Pennsylvania,Course,1 - 3 Months,4.8,4.6k,Beginner,https://www.coursera.org/learn/american-law,"181,700",[]
597,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,Course,1 - 3 Months,4.7,3.1k,Beginner,https://www.coursera.org/learn/neuromarketing,"170,288","['Business Psychology', 'Marketing', 'Emotional Intelligence']"
492,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",Specialization,3 - 6 Months,4.7,19.6k,Beginner,https://www.coursera.org/specializations/iot,"153,817","['Arduino', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi', 'Computer Programming', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi', 'Python Programming', 'Application Programming Interfaces (API)', 'Internet Of Things (IOT)', 'Raspberry Pi', 'Internet Of Things (IOT)', 'Microcontroller', 'Embedded System Design', 'Wireshark', 'Arduino', 'C Programming', 'Debugging']"
962,Analitik Data Google,Google,Professional Certificate,3 - 6 Months,4.9,1.9k,Beginner,https://www.coursera.org/professional-certificates/analitik-data-google,"13,894","['Agregasi data', 'Analisis data', 'Spreadsheet', 'Kalkulasi Data', 'SQL', 'Spreadsheet', 'Sample Size Determination (Penentuan Ukuran Sampel)', 'Data Integrity (Integritas data)', 'Data Cleansing (Pembersihan Data)', 'SQL', 'Analisis data', 'Visualisasi Data (DataViz)', 'Studi kasus', 'Portofolio Kerja', 'Pembersihan Data', 'Analisis data', 'Visualisasi Data (DataViz)', 'Pemrograman R', 'R Markdown', 'Rstudio', 'Analisis data', 'Perangkat Lunak Tableau', 'Visualisasi Data (DataViz)', 'Presentasi', 'Pengumpulan data', 'Metadata', 'SQL', 'Etika data', 'Aplikasi Spreadsheet', 'Analisis data', 'Spreadsheet', 'Pengambilan keputusan', 'Mengajukan pertanyaan', 'Pemecahan Masalah', 'Analisis data', 'Visualisasi Data (DataViz)', 'Pembersihan Data', 'SQL', 'Aplikasi Spreadsheet']"
187,Analyze Data to Answer Questions,Google,Course,1 - 4 Weeks,4.6,9.4k,Beginner,https://www.coursera.org/learn/analyze-data,"457,959","['Data Analysis', 'Spreadsheet Software', 'SQL']"
665,Analyze Datasets and Train ML Models using AutoML,DeepLearning.AI,Course,1 - 4 Weeks,4.5,411,Advanced,https://www.coursera.org/learn/automl-datasets-ml-models,"28,185",[]
508,Analyze Network Traffic with TCPDump,Coursera Project Network,Guided Project,Less Than 2 Hours,4.4,36,Intermediate,https://www.coursera.org/projects/analyze-network-traffic-with-tcpdump,"2,297",[]
352,Anatomy,University of Michigan,Specialization,3 - 6 Months,4.8,3.5k,Beginner,https://www.coursera.org/specializations/anatomy,"67,306","['Respiratory system', 'human anatomy', 'Cardiovascular system', 'Gastrointestinal system', 'Musculoskeletal system', 'Musculoskeletal system', 'Skeletal muscle anatomy', 'Integumentary system', 'human anatomy', 'Cardiovascular system', 'Respiratory system', 'urinary system', 'human anatomy', 'human anatomy', 'Autonomic nervous system', 'Nervous system', 'Peripheral nervous system', 'Cranial nerves', 'Gastrointestinal system', 'Reproductive system', 'Endocrine system', 'human anatomy']"
903,Android App Development,Vanderbilt University,Specialization,3 - 6 Months,4.5,3.6k,Beginner,https://www.coursera.org/specializations/android-app-development,"105,541","['Software Testing', 'Unit Testing', 'Android Software Development', 'Junit', 'Logic Programming', 'Android Studio', 'Java Programming', 'Object-Oriented Programming (OOP)', 'Computer Programming', 'Android Studio', 'Android Software Development', 'Concurrent Computing']"
427,Animal Behaviour and Welfare,The University of Edinburgh,Course,1 - 3 Months,4.8,4.9k,Mixed,https://www.coursera.org/learn/animal-welfare,"144,325","['Animal', 'Animal Behavior', 'Veterinary', 'Dog']"
